Migrated Seat,迁移距离,最近邻居,区号
富平侯国(乐安亭县),89.99568993,24.1732737,2
南平县(南平县),94.39688248,27.23937067,4
营道县(九疑亭县),115.4759596,27.23937067,4
广年县(富昌县),26.1127005,29.22392692,2
建信县(建信县),17.84210489,29.98406763,2
当利县(东莱亭县),18.58763163,31.96876568,2
郁秩县(郁秩县),29.36424096,31.96876568,2
泗阳县(淮平亭县),69.16144018,38.99942452,3
新平县(新平县),12.05056526,49.87296185,2
武原县(和乐亭县),62.16135128,55.82190639,3
巨野县(巨野县),28.35808139,57.69608231,2
上曲阳县(常山亭县),30.64649787,58.51666145,2
观津县(朔定亭县),11.51509575,58.58885439,2
埒县(填狄亭县),109.459163,63.07918862,7
鬲县(河平亭县),34.14607801,63.54141297,2
武垣县(垣翰亭县),124.2378569,63.72581847,2
路县(通路亭县),41.55300366,67.99789982,7
魏县(魏城亭县),51.33287867,68.7779956,2
虞县(陈定亭县),67.15202543,69.43992879,2
般阳县(济南亭县),44.42650939,70.04302098,2
夷舆县(朔调亭县),38.37102562,71.81693769,7
戎邑道(填戎亭县),87.90469585,77.02355934,6
安风县(安风亭县),61.03401187,81.58705649,3
女阴县(汝坟县),117.5452822,81.58705649,2
南皮县(迎河亭县),24.42665219,88.66210093,7
河池县(乐平亭县),109.379505,91.43218657,6
上虞县(会稽县),146.1450547,96.31231793,3
襄安县(庐江亭县),59.49882139,107.3369311,3
曲阳侯国(延平亭县),37.84425016,108.4181666,3
徐无县(北顺亭县),131.9386703,111.5444288,7
渠搜县(沟搜县),180.927064,127.2634111,7
代县(厌狄亭县),37.73951159,141.6376464,7
襄垣县(上党亭县),49.74643496,154.3496088,2
无编县(九真亭县),36.47197721,155.9557397,8
浿水县(乐鲜亭县),139.0276642,166.6747728,7
西盖马县(玄菟亭县),120.1180466,166.6747728,7
张掖县(张掖县),44.14012297,174.2969015,6
编县(南顺县),109.9244335,196.6152795,4
柴桑县(九江亭县),107.5817097,232.868293,3
州陵县(江夏县),102.7046684,232.868293,4
义陵县(建平县),186.0157959,266.9250465,4
玉门县(辅平亭县),126.1102859,270.2883502,6
夜郎县(同亭县),257.488135,321.0554487,5
西捲县(日南亭县),47.45720801,355.5798147,8
揭阳县(南海亭县),309.4326977,484.9998921,8
,83.26554404,118.9260602,